Exclude for Cover Analyses,State,Date,Block,Paddock,Plot,control Desc,Grazing,Fuelbreak/control,Spatial_arrangement,Seed Rate,Water,Species,Coating,Distance Along Transect_m,BRTE,percent BRTE,Introduced forbs,percent introduced forbs,Rock+Bare,SUM native grasses,SUM native forbs,SUM SD forb,Moss/Lichen/Crust,Litter,Rock,Bare,Height (cm),Native grass count (low data quality),BRTE count,Biomass of strip,Fuel Continuity of strip,Cover of strip,Notes,Notes about Plot 8 alternative experiment - refer to map if needed,sqrt(BRTE),1/var sqrt BRTE,Residual sqrt(BRTE),1/var percent BRTE,Residual percent BRTE,Residual Sqrt(BRTE count),1/var Height,Residual Sqrt(Introduced forbs),1/var Bare+Rock,Residual Rock+Bare
,NV,6/4/2019,one,1,mono high,,Fall,greenstrip,mono,high,no water,ELTR,C,2,48,88.88888889,4,7.407407407,38,0,0,2,0,0,0,38,20,0,51,3,4,4,,,6.92820323,0.373068786,1.036924755,0.002739843,30.23517736,0.806410865,0.019162182,-2.298333443,0.002363358,-5.546235351
,NV,6/5/2019,one,3,C2E,C2E,Ungrazed,control,na,na,na,na,na,,15,25,19,31.66666667,32,26,0,0,0,0,0,32,18,3,12,4,5,5,,,3.872983346,0.274048306,-2.134147526,0.002688175,-34.31000394,-3.364156694,0.013893113,0.222335953,0.002079164,-9.25
,NV,6/8/2019,two,4,mono low,,Spring,greenstrip,mono,low,no water,POFE,C,14,23,38.98305085,31,52.54237288,33,0,2,3,0,0,0,33,29,0,38,4,5,5,,,4.795831523,0.476449874,-0.752895702,0.003546768,-16.67836708,0.297057276,0.019227796,1.326179407,0.002942134,-12.17160752
,NV,6/1/2019,one,1,C1W,C1W,Fall,control,na,na,na,na,na,na,23,52.27272727,20,45.45454545,48,1,0,0,0,0.5,0,48,25,0,12,4,5,5,,,4.795831523,0.373068786,-1.108141132,0.002739843,-3.065868298,-3.034355726,0.019162182,-0.18635923,0.002363358,11.22222222
,NV,6/7/2019,two,4,C5W,C5W,Spring,control,na,na,na,na,na,,32,59.81308411,20,37.38317757,36,0,0.5,1,0,3,0,36,29,0,47,4,5,5,,,5.65685425,0.476449874,0.211414399,0.003546768,5.053424012,1.264822801,0.019227796,0.150228528,0.002942134,-10.93069133
,NV,6/10/2019,two,6,mono high,,Ungrazed,greenstrip,mono,high,no water,VUMI,C,2,32,57.65765766,22,39.63963964,36,0,0.5,1,0,1,1,35,36,0,23,5,5,5,,,5.65685425,0.274048306,0.017142809,0.002688175,-0.08720307,-1.514160597,0.013893113,0.879562876,0.002079164,-8.312064661
,NV,6/15/2019,three,7,mono low,,Fall,greenstrip,mono,low,no water,POFE,UC,52,41,64.0625,21,32.8125,26.5,0,0,2,0,2,0.5,26,24,0,109,4,5,5,,,6.403124237,0.373068786,0.511845762,0.002739843,5.408788468,4.105288946,0.019162182,0.284242252,0.002363358,-17.04623535
,NV,6/19/2019,three,8,mono high,,Ungrazed,greenstrip,mono,high,no water,ELTR,UC,58,50,71.94244604,19,27.3381295,23,0,0,0.5,0,0,0,23,36,0,71,5,5,5,,,7.071067812,0.274048306,1.431356371,0.002688175,14.19758532,2.116157653,0.013893113,0.54804606,0.002079164,-21.31206466
,NV,6/2/2019,one,1,mix low water,,Fall,greenstrip,mix,low,water,na,C,54,50,71.42857143,18,25.71428571,22.5,2,0,0,0,0.5,0.5,22,24,3,43,4,5,3,,,7.071067812,0.373068786,1.179789337,0.002739843,12.7748599,0.222420961,0.019162182,-0.055692755,0.002363358,-21.04623535
,NV,6/9/2019,two,4,kochia,,Spring,greenstrip,na,na,no water,na,na,10,40,58.82352941,23,33.82352941,24,2,0,3,0,1,0,24,25,4,76,3,4,4,,,6.32455532,0.476449874,0.775828095,0.003546768,3.162111485,2.85044116,0.019227796,0.554246568,0.002942134,-21.17160752
,NV,6/8/2019,two,4,mono low,,Spring,greenstrip,mono,low,no water,ELEL,UC,54,24,56.47058824,13,30.58823529,50,3,2,0.5,0,1,0,50,30,0,21,5,5,5,,,4.898979486,0.476449874,-0.64974774,0.003546768,0.809170308,-1.284781032,0.019227796,-0.63603368,0.002942134,4.828392483
,NV,6/10/2019,two,6,mono low,,Ungrazed,greenstrip,mono,low,no water,ELTR,C,10,53,77.94117647,7,10.29411765,22.5,0,0,8,0,3,0.5,22,33,0,87,5,5,5,,,7.280109889,0.274048306,1.640398448,0.002688175,20.19631574,3.017386933,0.013893113,-1.165101572,0.002079164,-21.81206466
,NV,6/13/2019,three,7,C6E,C6E,Fall,control,na,na,na,na,na,,50,71.42857143,20,28.57142857,23,0,0,0,0,0.5,0,23,35,0,124,5,5,5,,,7.071067812,0.373068786,1.167095156,0.002739843,16.08997586,4.637071384,0.019162182,-0.18635923,0.002363358,-13.77777778
,NV,6/4/2019,one,1,mono high,,Fall,greenstrip,mono,high,no water,VUMI,C,14,30,73.17073171,10,24.3902439,52,0,0,1,0,1,0,52,22,0,8,4,5,5,,,5.477225575,0.373068786,-0.4140529,0.002739843,14.51702018,-3.506590439,0.019162182,-1.136055782,0.002363358,8.453764649
,NV,6/5/2019,one,2,mono low,,Spring,greenstrip,mono,low,no water,POSE,UC,6,33,70.21276596,12,25.53191489,47,2,0,0,0,0,0,47,26,2,15,4,5,5,,,5.744562647,0.476449874,0.195835421,0.003546768,14.55134803,-1.99437338,0.019227796,-0.77748334,0.002942134,1.828392483
,NV,6/5/2019,one,3,mix high,,Ungrazed,greenstrip,mix,high,no water,na,UC,6,46,74.19354839,9,14.51612903,32,7,0,0,0,0,0,32,21,4,33,4,5,5,,,6.782329983,0.274048306,1.142618542,0.002688175,16.44868766,-0.565429474,0.013893113,-0.810852883,0.002079164,-12.31206466
,NV,6/8/2019,two,4,mono high,,Spring,greenstrip,mono,high,no water,ELEL,C,14,32,50.79365079,18,28.57142857,30.5,13,0,0,0,0.5,0.5,30,33,12,42,5,5,5,4% cow patty at 14m,,5.65685425,0.476449874,0.108127024,0.003546768,-4.867767133,0.613383972,0.019227796,0.001055732,0.002942134,-14.67160752
,NV,6/20/2019,three,8,C6,C6,Ungrazed,control,na,na,na,na,na,,15,66.66666667,2,8.888888889,71,5,0,0.5,0,0.5,1,70,19,0,46,3,3,3,,fell within other experiment,3.872983346,0.274048306,-2.134147526,0.002688175,7.35666273,-0.045928326,0.013893113,-2.722349429,0.002079164,29.75
,NV,6/2/2019,one,1,mix high,,Fall,greenstrip,mix,high,no water,na,C,46,55,87.3015873,6,9.523809524,30.5,1,0,1,0,1,0.5,30,26,0,65,4,5,5,,,7.416198487,0.373068786,1.524920012,0.002739843,28.64787577,1.727240185,0.019162182,-1.8488437,0.002363358,-13.04623535
,NV,6/5/2019,one,3,mono low,,Ungrazed,greenstrip,mono,low,no water,VUMI,UC,14,47,71.21212121,6,9.090909091,28.5,13,0,0,0,0,0.5,28,22,7,21,4,5,5,,,6.8556546,0.274048306,1.21594316,0.002688175,13.46726049,-1.727416425,0.013893113,-1.361363141,0.002079164,-15.81206466
,NV,6/8/2019,two,4,mono high,,Spring,greenstrip,mono,high,no water,ELEL,UC,42,52,80,12,18.46153846,28.5,1,0,0,0,1,0.5,28,36,0,74,5,5,5,,,7.211102551,0.476449874,1.662375325,0.003546768,24.33858207,2.73496854,0.019227796,-0.77748334,0.002942134,-16.67160752
,NV,6/9/2019,two,5,mix high,,Fall,greenstrip,mix,high,no water,na,C,46,60,81.63265306,6,8.163265306,20,2,0.5,5,0,1,0,20,29,5,56,3,4,4,,,7.745966692,0.373068786,1.854688217,0.002739843,22.97894153,1.14829721,0.019162182,-1.8488437,0.002363358,-23.54623535
,NV,6/2/2019,one,1,mix low water,,Fall,greenstrip,mix,low,water,na,UC,6,45,76.27118644,12,20.33898305,35.5,1,0,1,0,0.5,0.5,35,25,0,34,4,5,5,,,6.708203933,0.373068786,0.816925458,0.002739843,17.61747491,-0.504065669,0.019162182,-0.834231827,0.002363358,-8.046235351
,NV,6/7/2019,one,3,mix low,,Ungrazed,greenstrip,mix,low,no water,na,C,46,39,67.24137931,12,20.68965517,36,7,0,0,1,0,5,31,31,4,35,4,5,5,orange native moss <1,,6.244997998,0.274048306,0.605286557,0.002688175,9.496518583,-0.393912337,0.013893113,-0.346751268,0.002079164,-8.312064661
,NV,6/5/2019,one,3,mono low,,Ungrazed,greenstrip,mono,low,no water,POSE,UC,18,19,37.25490196,10,19.60784314,43.5,22,0,0,0,0.5,0.5,43,25,5,7,4,5,5,,,4.358898944,0.274048306,-1.280812497,0.002688175,-20.48995877,-3.664240809,0.013893113,-0.648575223,0.002079164,-0.812064661
,NV,6/7/2019,two,4,C3W,C3W,Spring,control,na,na,na,na,na,,27,60,12,26.66666667,49,5,0,1,0,1,0,49,26,4,46,4,5,5,,,5.196152423,0.476449874,-0.249287428,0.003546768,5.2403399,1.191498184,0.019227796,-0.857805812,0.002942134,2.069308672
,NV,6/10/2019,two,6,mono high,,Ungrazed,greenstrip,mono,high,no water,ELTR,C,10,33,46.47887324,36,50.70422535,23.5,0,0,2,0,0.5,0.5,23,37,0,104,5,5,5,,,5.744562647,0.274048306,0.104851206,0.002688175,-11.26598749,3.888046907,0.013893113,2.189147117,0.002079164,-20.81206466
,NV,6/4/2019,one,1,mono high,,Fall,greenstrip,mono,high,no water,POFE,UC,42,24,94.11764706,1,3.921568627,69,0.5,0,0,0,1,0,69,17,0,27,3,4,4,,,4.898979486,0.373068786,-0.992298989,0.002739843,35.46393553,-1.138865141,0.019162182,-3.298333443,0.002363358,25.45376465
,NV,6/4/2019,one,1,mono high,,Fall,greenstrip,mono,high,no water,ELTR,UC,58,52,80.62015504,10,15.50387597,30,0,1.5,1,0.5,0.5,1,29,21,0,78,4,4,3,microsteris is noted for native forb at 58m.,,7.211102551,0.373068786,1.319824076,0.002739843,21.96644351,2.496743303,0.019162182,-1.136055782,0.002363358,-13.54623535
,NV,6/3/2019,one,1,mono low,,Fall,greenstrip,mono,low,no water,POSE,UC,58,50,65.35947712,25,32.67973856,18,1,0,0.5,0.5,0.5,0,18,28,0,18,4,,,,,7.071067812,0.373068786,1.179789337,0.002739843,6.705765592,-2.092376876,0.019162182,0.701666557,0.002363358,-25.54623535
,NV,6/1/2019,one,1,mono low water,,Fall,greenstrip,mono,low,water,ELEL,UC,58,27,68.35443038,12,30.37974684,55,0,0,0.5,0.5,0.5,0,55,22,0,0,4,5,5,,,5.196152423,0.373068786,-0.695126052,0.002739843,9.700718848,-6.335017563,0.019162182,-0.834231827,0.002363358,11.45376465
,NV,6/4/2019,one,2,mix low,,Spring,greenstrip,mix,low,no water,na,C,6,17,53.125,7,21.875,63,8,0,0,0,1,1,62,29,3,4,4,5,5,,,4.123105626,0.476449874,-1.4256216,0.003546768,-2.536417927,-3.867356727,0.019227796,-1.595833644,0.002942134,17.82839248
,NV,6/4/2019,one,2,mix low,,Spring,greenstrip,mix,low,no water,na,UC,46,22,55,4,10,55,11,2,1,0.5,0.5,0,55,23,1,20,4,5,4,CROC was native forb at 46m.,,4.69041576,0.476449874,-0.858311466,0.003546768,-0.661417927,-1.395220772,0.019227796,-2.241584955,0.002942134,9.828392483
,NV,6/9/2019,two,5,kochia 2x,,Fall,greenstrip,na,na,no water,na,na,10,34,57.62711864,23,38.98305085,36,1,0,1,0,1,0,36,23,2,91,5,5,5,,,5.830951895,0.373068786,-0.06032658,0.002739843,-1.026592888,3.204374451,0.019162182,0.497498081,0.002363358,-7.546235351
,NV,6/10/2019,two,5,mono high,,Fall,greenstrip,mono,high,no water,ELEL,C,10,40,57.97101449,9,13.04347826,26,3,15,2,0,1,2,24,35,4,85,5,5,5,,,6.32455532,0.373068786,0.433276845,0.002739843,-0.682697039,2.884526894,0.019162182,-1.298333443,0.002363358,-17.54623535
,NV,6/10/2019,two,6,mono low,,Ungrazed,greenstrip,mono,low,no water,POSE,C,2,25,34.24657534,45,61.64383562,22,1,1,1,0,1,0,22,28,1,49,5,5,5,,,5,0.274048306,-0.639711441,0.002688175,-23.49828538,0.69000788,0.013893113,2.897351049,0.002079164,-22.31206466
,NV,6/15/2019,three,7,mono low,,Fall,greenstrip,mono,low,no water,ELEL,UC,56,32,42.10526316,42,55.26315789,19,0,0,2,0,1,0,19,26,0,99,5,5,5,"3 ELEL at ~60m (1 on tape, 1 ~3m S., and 1 ~2m N)",,5.65685425,0.373068786,-0.234424226,0.002739843,-16.54844837,3.614856808,0.019162182,2.182407256,0.002363358,-24.54623535
,NV,6/17/2019,three,8,C1W,C1W,Ungrazed,control,na,na,na,na,na,,27,69.23076923,11,28.20512821,56.5,0,0,1,0,0.5,0.5,56,19,0,32,3,5,4,,falls in old 'road'/ditch (see P7 video),5.196152423,0.274048306,-0.810978449,0.002688175,9.920765294,-1.17140406,0.013893113,-0.819938201,0.002079164,15.25
,NV,6/19/2019,three,8,C3W,C3W,Ungrazed,control,na,na,na,na,na,,22,47.82608696,24,52.17391304,49.5,0,0,0,0,0.5,0.5,49,28,0,40,4,5,5,,tire tracks run near transect,4.69041576,0.274048306,-1.316715112,0.002688175,-11.48391698,-0.503702989,0.013893113,0.762416495,0.002079164,8.25
,NV,6/20/2019,three,8,mix low water,,Ungrazed,greenstrip,mix,low,water,na,C,6,10,66.66666667,3,20,80,1,0,1,0,1,0,80,17,2,22,1,1,1,stand of 15+ med-larg poa near S edge of strip,"Entire plot fell within other experiment - evident mowing and rows, nearly all BRTE appears brittle and dead execpt from 49m and up",3.16227766,0.274048306,-2.477433781,0.002688175,8.92180594,-1.61957636,0.013893113,-2.078802076,0.002079164,35.68793534
,NV,6/22/2019,three,9,mix low,,Spring,greenstrip,mix,low,no water,na,C,6,50,68.49315069,23,31.50684932,22,0,0,0,0,1,0,22,29,0,67,4,5,5,50+ poa and couple ELEL near NW stake (video),,7.071067812,0.476449874,1.522340586,0.003546768,12.83173276,2.317996045,0.019227796,0.554246568,0.002942134,-23.17160752
,NV,6/1/2019,one,1,mono low water,,Fall,greenstrip,mono,low,water,POFE,C,2,55,92.43697479,3,5.042016807,36,0.5,1,0,0,1,1,35,13,1,21,4,5,5,take sample of mystery plant,,7.416198487,0.373068786,1.524920012,0.002739843,33.78326326,-1.752441868,0.019162182,-2.566282635,0.002363358,-7.546235351
,NV,6/2/2019,one,1,mix high water,,Fall,greenstrip,mix,high,water,na,UC,54,40,65.57377049,20,32.78688525,35.5,1,0,0,0,0,0.5,35,25,3,29,4,5,5,,,6.32455532,0.373068786,0.433276845,0.002739843,6.92005896,-0.949852756,0.019162182,0.173802512,0.002363358,-8.046235351
,NV,6/4/2019,one,2,mono high,,Spring,greenstrip,mono,high,no water,VUMI,UC,62,28,67.46987952,12,28.91566265,53.5,1,0.5,0,1,0.5,0.5,53,20,1,43,3,4,4,,,5.291502622,0.476449874,-0.257224603,0.003546768,11.80846159,0.690081798,0.019227796,-0.77748334,0.002942134,8.328392483
,NV,6/5/2019,one,2,mono low,,Spring,greenstrip,mono,low,no water,VUMI,UC,10,25,69.44444444,10,27.77777778,59.5,1,0,0,0,1,0.5,59,25,1,12,4,5,5,,,5,0.476449874,-0.548727226,0.003546768,13.78302652,-2.403255111,0.019227796,-1.079307295,0.002942134,14.32839248
,NV,6/7/2019,two,4,C2,C2,Spring,control,na,na,na,na,na,,25,74.62686567,5,14.92537313,62,1,2.5,0,0,1,0,62,22,2,41,4,4,4,,,5,0.476449874,-0.445439851,0.003546768,19.86720557,0.812292438,0.019227796,-2.08583945,0.002942134,15.06930867
,NV,6/8/2019,two,4,mono high,,Spring,greenstrip,mono,high,no water,POFE,UC,50,31,67.39130435,12,26.08695652,49.5,3,0,0,0,1,0.5,49,29,2,53,4,5,5,,,5.567764363,0.476449874,0.019037137,0.003546768,11.72988642,1.412753163,0.019227796,-0.77748334,0.002942134,4.328392483
,NV,6/9/2019,two,5,C3,C3,Fall,control,na,na,na,na,na,,33,49.25373134,33,49.25373134,29,0,0.5,0.5,0,0.5,0,29,40,0,71,5,5,5,,,5.744562647,0.373068786,-0.159410009,0.002739843,-6.084864228,1.927692432,0.019162182,1.086067461,0.002363358,-7.777777778
,NV,6/9/2019,two,5,mono low,,Fall,greenstrip,mono,low,no water,POFE,UC,46,31,73.80952381,8,19.04761905,54,3,0,0,0,0.5,3,51,24,1,46,3,4,4,,,5.567764363,0.373068786,-0.323514112,0.002739843,15.15581228,0.44731242,0.019162182,-1.469906318,0.002363358,10.45376465
,NV,6/13/2019,three,7,C2,C2,Fall,control,na,na,na,na,na,,20,27.39726027,52,71.23287671,23,0,0.5,0.5,0,0.5,0,23,22,0,44,3,5,5,,,4.472135955,0.373068786,-1.431836701,0.002739843,-27.9413353,0.13479224,0.019162182,2.552607366,0.002363358,-13.77777778
,NV,6/13/2019,three,7,C4,C4,Fall,control,na,na,na,na,na,,60,80.53691275,11,14.76510067,21,0,0.5,3,0,1,0,21,34,0,66,4,5,5,,,7.745966692,0.373068786,1.841994037,0.002739843,25.19831718,1.625581063,0.019162182,-1.341870395,0.002363358,-15.77777778
